id,title,link,price,subscribers,reviews,levels,rating,subjectName
41295,Learn HTML5 Programming From Scratch,https://www.udemy.com/learn-html5-programming-from-scratch/,0,268923,8629,Beginner Level,0.82,Web Development
59014,Coding for Entrepreneurs Basic,https://www.udemy.com/coding-for-entrepreneurs-basic/,0,161029,279,Expert Level,0.69,Web Development
625204,The Web Developer Bootcamp,https://www.udemy.com/the-web-developer-bootcamp/,200,121584,27445,Beginner Level,0.89,Web Development
173548,Build Your First Website in 1 Week with HTML5 and CSS3,https://www.udemy.com/build-your-first-website-in-1-week/,0,120291,5924,All Levels,0.78,Web Development
764164,The Complete Web Developer Course 2.0,https://www.udemy.com/the-complete-web-developer-course-2/,200,114512,22412,Beginner Level,0.55,Web Development
19421,Free Beginner Electric Guitar Lessons,https://www.udemy.com/beginner-electric-guitar-lessons/,0,101154,1042,All Levels,0.88,Musical Instruments
473160,Web Design for Web Developers: Build Beautiful Websites!,https://www.udemy.com/web-design-secrets/,0,98867,6512,All Levels,0.82,Web Development
94430,Learn Javascript & JQuery From Scratch,https://www.udemy.com/learn-javascript-jquery-from-scratch/,30,84897,2685,All Levels,0.79,Web Development
130064,Practical PHP: Master the Basics and Code Dynamic Websites,https://www.udemy.com/code-dynamic-websites/,0,83737,4598,Intermediate Level,0.85,Web Development
364426,JavaScript: Understanding the Weird Parts,https://www.udemy.com/understand-javascript/,175,79612,16976,All Levels,0.69,Web Development
238934,Pianoforall - Incredible New Way To Learn Piano & Keyboard,https://www.udemy.com/pianoforall-incredible-new-way-to-learn-piano-keyboard/,200,75499,7676,Beginner Level,0.96,Musical Instruments
756150,Angular 4 (formerly Angular 2) - The Complete Guide,https://www.udemy.com/the-complete-guide-to-angular-2/,190,73783,19649,Beginner Level,0.9,Web Development
21386,Beginner Photoshop to HTML5 and CSS3,https://www.udemy.com/psd-html5-css3/,0,73110,1716,All Levels,0.94,Web Development
65330,Web Development By Doing: HTML / CSS From Scratch,https://www.udemy.com/web-development-learn-by-doing-html5-css3-from-scratch-introductory/,0,72932,2575,All Levels,0.39,Web Development
405926,HTML and CSS for Beginners - Build a Website & Launch ONLINE,https://www.udemy.com/html-and-css-for-beginners-crash-course-learn-fast-easy/,0,70773,5660,All Levels,0.57,Web Development
11174,Become a Web Developer from Scratch,https://www.udemy.com/how-to-become-a-web-developer-from-scratch/,120,69186,2408,All Levels,0.61,Web Development
49798,Bitcoin or How I Learned to Stop Worrying and Love Crypto,https://www.udemy.com/bitcoin-or-how-i-learned-to-stop-worrying-and-love-crypto/,0,65576,936,All Levels,0.56,Business Finance
314462,Quickstart AngularJS,https://www.udemy.com/quickstart-angularjs/,0,64128,4047,Beginner Level,0.96,Web Development
128946,Learn Responsive Web Development from Scratch,https://www.udemy.com/learn-responsive-web-development-from-scratch/,0,59639,2692,All Levels,0.55,Web Development
289230,Learn and Understand AngularJS,https://www.udemy.com/learn-angularjs/,175,59361,11580,Beginner Level,0.87,Web Development
461160,Learn and Understand NodeJS,https://www.udemy.com/understand-nodejs/,195,58208,11123,Beginner Level,0.73,Web Development
556248,The Complete HTML & CSS Course - From Novice To Professional,https://www.udemy.com/htmlwebsite/,195,57422,874,All Levels,0.82,Web Development
48841,Accounting in 60 Minutes - A Brief Introduction,https://www.udemy.com/accounting-in-60-minutes-a-brief-introduction/,0,56659,4397,Beginner Level,0.95,Business Finance
